Komentar,Rating,Jumlah Berguna,Tanggal
"love it dengan Wondr by bni. All fiturnya gampang diakses, ga meribetkan melakukan transaksi. mempermudah untuk transfer, bisa E commerce dan E wallet. Ga perlu ribet buka banyak aplikasi lagi semua beres, login mudah,qris cepat bagi aku yang suka melakukan pembayaran non cash.",5,446,2024-12-01
"Untuk tampilannya tidak membosankan. Untuk masukannya, kalau bisa history transaksiny disertai jumlah saldo ditabunganny, jangan cuma pemasukan dan penengeluaran saja. Untuk e wallet dana kenapa dibatasi 2 jt..",5,435,2024-08-24
"All transaksi terlihat (debet; kredit) , rekening bni / bank lain terlihat, di menu transaksi, info rekening, semua rekening : inovatif dan sangat transparan. Menu liat aset (rangkuman) sangat menarik, tambah semangat untuk buka rekening baru dan optimasi aset. Menu insight sangat menarik, monitoring yang di simplified. Jika ada surplus langsung deh buka rekwning baru di menu growth. Wondr by bni : complete and simple",5,364,2024-09-04
"Aplikasi wondr ini simpel ya, dan jadi teredukasi saat menggunakan. Menunya belum muncul kayanya krn masa transisi ya, tp pasti akan lebih lengkap nanti pas awal tahun. Aplikasi bni mobile sementara ini jgn dihapus dulu kata petugasnya, soalnya beberapa menu belum masuk ke wondr. Semoga makin hari makin baik👍🏻👍🏻",5,327,2024-11-30
"Tampilan baru yg menyegarkan, pada awalnya terdapat kendala saat verifikasi wajah saat mata diminta berkedip, tp setelah dicoba lain hari, cuma diminta gerakan kepala ke atas saat verifikasi wajah langsung sukses, Alhamdulillah. Dan masih ada kendala lg, mutasi rekening tidak bisa seperti BNI mobile, misalnya mutasi seperti Jasa/Bunga tabungan, biaya kartu dan administrasi tidak muncul. Mohon dibenahi dulu, dan menunya belum selengkap BNI mobile yg bisa bayar biaya pendidikan. Terimakasih",5,324,2024-08-14
"Sangat baguss banget sihh,lebih gampang, simpel dan juga mudah dalam transaksi,Tampilannya juga menarik. Tidak ribet juga saat verifikasi daftar nya, Mudah dlm penggantian email (tidak perlu k kantor cabang BNI ) saat email yg awal udh gak aktip🤗sangat puasss sekali untuk pembaruan aplikasi nya",5,253,2024-07-12
"Aplikasinya sangat mempermudah saat transaksi dimana pun jadi lebih praktis . Tiba2 token listrik , pulsa habis atau mau beli tiket whoos yg harus cepat pun ini sangat mudah langsung sat.. Set bayar semua tanpa kendala",5,197,2024-11-30
"Transaksi jadi lebih cepat, saldo langsung terupdate setelah transaksi, warna Colourfull dan pake Qris juga banyak promonya 🫶 mohon narasi/keterangan yg sdh ditulis saat transaksi agar ditampilkan di bukti transaksi ya min. Juga ditambah untuk menu transaksi tanpa kartu, cetak rekening koran, bayar wifi profider Cbn, dan bayar kuliah juga ya min. 👍",5,182,2024-09-03
"UI nya bagus ramah pengguna, tidak seribet BNI Mobile saat Login dan transaksi dan lebih bagus lagi apabila ditambahkan biaya pendidikan untuk pembayaran UKT. Kekurangannya cuman di maintenance nya mengapa sering di jam kerja",5,162,2024-11-06
"Tampilan aplikasinya baguss, kombinasi warnanya enak dilihat. Aku paling suka sama fitur goalsnya, jadi bisa kategorikan uang sesuai tujuan yang kita mauuu. Terus juga bisa transfer ke luar negeri, convertnya lumayan baguss.",5,161,2024-12-01
