at,score,content
2025-01-09 23:41:12,3,Knpa ngk bisa buat transaksi m bangking
2025-01-09 20:38:48,5,Selama pakai BNI mbanking semua serba mudah
2025-01-09 20:32:41,5,"Mantab, sangat membantu"
2025-01-09 18:09:17,4,"Kenapa kalo mau tf kok ada ""VASNAP 303"" gagal membuat virtual account"
2025-01-09 17:48:37,1,"Kenapa ga bisa beli token listrik, yaelah"
2025-01-09 17:21:00,5,"Terima kasih BNI sudah sangat membantu dalam setiap transaksi. Memudahkan semua nya ada M-banking, dan sekarang upgrade ke Wondr, akan tetapi fitur Mobile Tunai tidak bisa digunakan😭"
2025-01-09 11:01:09,5,Praktis dan cepat dalam memberi pelayanan
2025-01-09 10:23:04,4,"masa waktu ambil uang dari atm uang saya gak keluar, padahal saldo sudah terpotong. katanya nanti saldo akan kembali tapi udah 3 hari saldo gak kembali-kembali, kit heart sayaa💔💔💔💔💔💔"
2025-01-09 08:14:17,1,"Ini gimana ya konsepnya masok otp salah terus , lah akun akun gue pas di masukin otp otp harus 6digit itu aja terus"
2025-01-09 08:08:00,1,Saya ubah ulasan saya Setiap saya buka Menu pembayaran selalu koneksi terputus Bintang 1 pun tak layak
2025-01-09 07:49:36,1,Aplikasi nya jelek beru pertama kali mau bukaa sudah gak bisa daftr.... Msih kalah sama BRI & BCA
2025-01-09 07:40:09,5,Baik
2025-01-09 05:24:05,5,Good
2025-01-09 01:29:08,4,Saya ingin buat user id tapi status MBANK EROR.
2025-01-08 23:48:07,1,"Sering banget diwaktu penting selalu aja ""Sedang meningkatkan layanan"" jelek banget pelayanan Aplikasinya"
2025-01-08 23:47:41,1,"Saldo minimum gak bisa 15k lagi, padahal lumayan top up game sisanya .. tapi makin gak jelas BNI banking nya, rasa mulai males kalo aktifitas transaksi menggunakan BNI mobile banking ini .."
2025-01-08 19:28:53,1,"NYELESAIN QRIS SALDO NYANGKUT GK BISA , BUMN LOH INI , RATING SATU CUKUP UNTUK BNI DIPROSES CUMAN NYANDET DI SMS SURUH NUNGGU , PROSES UDAH 1 BULAN LEBIH"
2025-01-08 19:04:44,1,Kemana kami harus mengadu jika transfer pulsa berhasil tapi belum masuk di kartu seluler?
2025-01-08 18:38:46,2,"Minn, kok bni banking nya nggak bisa transfer"
2025-01-08 16:49:14,3,"Tolong segera diperbaiki untuk layanan setor tunai tanpa atm, karena tidak bisa digunakan dan di wonder juga belum ada"
2025-01-08 15:06:54,1,Kenapa bingki saya selalu banyak pembaruan tolong agar dk rebat TKS
2025-01-08 14:34:33,5,Untuk pergantian no handphone lama yg terdaftar registrasi bgmna yah ? No lama sdh hilang
2025-01-08 14:18:38,3,Kok gak bisa bikin user yaa?
2025-01-08 13:53:48,1,"Kak mohon penjelasannya dong pas mau transaksi ada pemberitahuan kode 53 TDK bisa melangsungkan transaksi hubungi pihak BNI 😩🤦🏻‍♀️pdahal jringan juga aman"" sja"
2025-01-08 13:48:37,1,transfer antarbank sering gangguan dan untuk pembayaran melalui qris sering tidak bisa dilakukan
2025-01-08 13:10:43,2,"Tolong pihak Bank, bagaimana cara mengganti nomor HP yg sebelumnya? Saya sudah melakukan segala cara, ribet sekali! Masa gak boleh ganti nomor HP seumur hidup? Mau transaksi tanpa kartu debit, tapi malah nomor HP lama yg muncul. Dan gimana cara ganti nomornya?"
2025-01-08 12:30:20,3,"Uang saya tiba tiba sekali berkurang, padahal tidak melakukan transaksi apapun"
2025-01-08 10:58:04,5,"ini baru,joss,,,lancar jaya,"
2025-01-08 07:51:04,2,"Saya mau login gak bisa, malah minta verifikasi user id. Setelah ada wonder apa bni mobile sudah gak bisa digunkan?klo gak bisa hapus aja dari playstrore. Saya pilih bni mobile karna ukuran apknya lebih kecil dibanding wonder tapi fungsi sama."
2025-01-08 07:32:28,5,sangat membantu
2025-01-08 07:12:05,1,"Asli ya,chat WA cs live agent BNI nunggu 30 menit baru bales, sekali dia bales 2 menit aja kita belum respon langsung diakhiri,,"
2025-01-08 05:49:56,1,kenapa susah log in yaa apalagi ketika awal bulan pas mau gajian
2025-01-08 01:54:02,3,Knpa tidak ada masuk verifikasi OTP ke akun Gmail saya min? Tolong segera di bantu
2025-01-08 00:08:39,1,"KENAPA SAYA TIDAK BISA MELAKUKAN TRANSFER ATAU MENGISI E WALLET, TOLONG DIPERBAIKI SEGERA!! SAYA SANGAT DIRUGIKAN KARENA JADI TELAT MEMBAYAR TAGIHAN!!!!"
2025-01-07 23:32:05,1,Sueee mau TF aja susah amat
2025-01-07 22:11:35,5,"Saya pernah punya akun BNI mobile banking, berhubung di Aceh harus beralih ke BSI jadi akun saya lupa id nya kartu debit juga hilang, bagaimana solusinya"
2025-01-07 20:17:14,3,Kenapa kok nggak kompatibke dengan redmi note 4. Masa harus ganti Hp.. aduuhh
2025-01-07 20:11:24,2,Setelah selesai bikin rekenink di suruh login dengan nomor debit padahal belom juga sempat liat nomor debit ny ini gmna saya mau top up ny kalo saya nggak bisa login lagi
2025-01-07 19:54:15,1,bukanya hrus pke wifi.pke data seluler gk bisa buka
2025-01-07 16:59:10,3,"Aneh, buat id ga bisa-bisa padahal udah bener"
2025-01-07 15:50:46,1,Keluar mulu
2025-01-07 14:40:28,5,Mantapp sangat membantu
2025-01-07 12:49:30,1,"Padahal USER ID dan MPIN udah bener kok malah Id atau pasword salah sih, kecewa sama aplikasi ini"
2025-01-07 10:54:26,1,"Layanan CS semua sangat ""SLOW RESPON"" mulai dr di whatsap , di app mbanking , sampai ke gmail"
2025-01-07 09:58:01,1,niatnya sih mau setor tunai ehh malah jadi ilang ti duit mending pakek BCA
2025-01-07 09:51:05,1,"Tolong dong, di perbaiki, saat masukkan pin selalu tidak bisa padahal pin sudah benar mau mengganti pin juga tidak bisa"
2025-01-07 09:43:44,1,Tidak bisa dipakai buka rekening
2025-01-07 09:17:08,2,"kak gimana cara mengaktifkan notifikasi BNI mobile? kalo ada transaksi masuk ngga ada notifikasi nya jadi bingung udah masuk atau belum, harus masuk ke aplikasi nya dulu"
2025-01-07 01:57:00,2,"tolong dong sistem nya diperbaiki lagi, ketika saya mau ambil tunai tanpa kartu kenapa selalu kode otp lama sekali masuk yaa, mohon kebijakan lebih lanjut terima kasih"
2025-01-06 23:49:32,1,"Payaah sering gagal transaksi ,koneksi terputus ,kode alert tidak jelas !setiap jam 23.00 keatas tidak bisa digunakan untuk transaksi bni mobile payah .. pelayanan kalah dengan mobile bank sebelah ..!!!"
2025-01-06 20:41:13,5,Bagus 👍🏻
2025-01-06 20:29:13,5,mending balik ke bni mobile banking ini daripada pake apk yang terbaru si wondr itu
2025-01-06 20:02:01,4,"Kenapa harus lewat wonder klo byar listrik , download wonder susah banget dftr nya gagal terus, jadi sedih kesel pokok nya,"
2025-01-06 18:56:55,4,"Suka terkeluar sendiri, dan itu sudah beberapa hari. Tidak ada perubahan."
2025-01-06 17:53:41,5,aplikasinya bagus banget saya suka...🥰🥰🥰🥰.
2025-01-06 16:14:42,1,Ini kenapa sih tiap mau isi e-wallet gagal mulu😮‍💨 padahal saldo cukup loh😮‍💨 tolong dong diperbaiki karna ini sangat menggangu sekali apalagi saat butuh gini😤
2025-01-06 14:13:56,1,"Costumer service BNI pelayanan lamban, ada keluhan transaksi gagal dan saldo terpotong menangani nya tidak sigap."
2025-01-06 13:44:59,5,Sangat membantu..tapi saat ini udah ga bisa lg transfer bayar tagihan paylater ke account sesama BNI bisa nya di bank lain.tolong dong adain lagi karena sesama BNI kan gratis..aku sebenarnya gak suka yg wonder itu..aku senengnya yg lama ..karena wonder itu rating nya jelek sekali .tolong tolong dong jangan dibikin error mau beli token listrik atau apapun.terima kasih
2025-01-06 13:00:18,1,Masuk aplikasinya ga bisa login selalu keluar sendiri ga jelas
2025-01-06 12:56:42,1,Eror mulu
2025-01-06 09:28:18,1,knp sering eror?
2025-01-06 09:26:30,1,Pelayanan di bank lama sangat lama .
2025-01-06 09:01:52,5,knpa tidak bisa mendwload apk m bangking
2025-01-06 07:13:01,1,Buat kirim dana dan transaksi token listrik tidak bisa
2025-01-06 07:06:03,1,"Mau beli token listrik di persulit,, malah di alihkan ke app yang beda lagi,, buat apa ada menu pembelian"
2025-01-06 05:42:32,1,"Kenapa saat saya ingin login selalu tidak bisa karena ada pemberitahuan sedang meningkatkan pelayanan. Sudah 3hari saya menunggu, tetapi tetap tidak bisa login. Padahal sebelumnya baik-baik saja. Bagaimana solusinya?"
2025-01-06 00:20:10,5,Ok
2025-01-05 23:46:13,3,Bni kenapa sih sms banking nya mesti berulang kali. Untuk notif yang sama. Satu kali aja udah cukup. Gak usah sms berulang2.
