word,total
aplikasi,2193
mudah,1798
bni,1551
transaksi,1365
wondr,1261
cepat,853
pakai,757
banget,662
keren,616
tarik,589
mobile,484
buka,482
by,462
fitur,457
tampil,455
tunai,436
bantu,421
masuk,417
login,382
bayar,378
kartu,295
wonder,282
apk,282
verifikasi,280
qris,275
uang,246
simpel,240
eror,239
banking,234
coba,231
update,219
kali,204
bank,201
daftar,201
suruh,200
menu,192
simple,186
praktis,182
sih,178
saldo,177
transfer,170
email,169
rekening,167
guna,165
wajah,161
gampang,159
ulang,156
atm,149
kasih,149
kendala,140
aman,138
bikin,134
setor,133
pas,121
mohon,116
nih,115
mbanking,114
nyaman,111
moga,108
lancar,107
download,104
butuh,104
kirim,104
kayak,103
oke,102
kode,102
terima,102
akses,99
maintenance,99
selesai,95
hari,94
ribet,94
beli,93
mulu,92
mending,92
app,92
otp,91
jam,89
hp,87
min,87
fiturnya,86
bintang,85
habis,85
pin,82
enak,82
proses,82
data,82
jadi,81
terimakasih,80
baru,80
tingkat,80
lot,79
warna,79
langsung,79
muncul,79
ganti,77
nasabah,74
ktp,74
bug,73
tambah,73
bagus,73
set,71
baik,70
sat,70
sedia,70
tf,69
akun,69
tunggu,68
paham,68
nan,67
pindah,66
manfaat,66
apa,65
layan,65
log,65
hasil,65
kini,65
dana,64
listrik,64
sistem,63
mana,62
masalah,61
cek,60
step,59
isi,59
mau,57
kemarin,56
beda,55
sesuai,55
token,55
sesi,55
mutasi,55
kak,54
hapus,54
registrasi,54
terang,54
biar,53
foto,52
lihat,50
mantab,50
payah,50
pagi,49
orang,49
aktif,49
tinggal,48
riwayat,48
deh,47
senang,47
baca,45
repot,44
tulis,42
kurang,42
depan,41
jaya,41
besok,40
gagal,40
pulsa,40
nomor,40
sayang,40
nya,40
cabang,39
sukses,38
cs,38
siang,38
tabung,38
e,37
promonya,37
pokok,37
syarat,37
keluar,37
solusi,37
instal,37
notifikasi,36
pilih,36
paksa,36
tanggal,35
loading,35
scan,35
ringan,34
password,34
ku,34
tau,34
kembang,34
debit,34
cardless,33
batas,33
pasuk,33
limit,32
kerja,32
maaf,32
perban,32
erti,32
malam,32
kantor,31
muas,31
digital,31
saran,31
juta,31
banyak,31
modern,31
atur,31
canggih,30
menit,30
kredit,30
lucu,30
bingung,30
versi,30
sisa,30
online,30
ewallet,30
banding,29
eh,29
muda,29
pinjam,28
ui,28
notif,28
tentu,28
nyala,28
jaring,27
biaya,27
cocok,27
ambil,27
uninstal,27
install,27
doang,26
blokir,26
trx,25
alam,25
lupa,25
cuman,25
alih,25
apl,25
ikut,24
bulan,24
detail,24
maju,24
didik,24
minggu,24
klik,24
dikit,23
wallet,23
urus,23
kagak,22
bawa,22
lumayan,22
jalan,22
bilang,22
informatif,22
upgrade,22
satset,22
info,22
sibuk,22
kah,22
halaman,21
efisien,21
belah,21
arah,21
pln,21
cetak,21
malas,21
lapor,21
alhamdulillah,21
n,21
sesal,21
aktivasi,21
kelola,21
virtual,21
belanja,20
penuh,20
full,20
dll,20
call,20
segar,20
milik,19
ganguan,19
tuju,19
gue,19
bukti,19
pasu,19
rek,19
indak,19
bos,18
gara,18
ramah,18
opsi,18
verif,18
apps,18
gaji,18
out,18
tranfer,18
rumah,18
rusak,18
mu,18
percaya,17
user,17
sandi,17
sempurna,17
uninstall,17
respon,17
via,17
close,17
langkah,17
topup,17
admin,17
layar,17
koran,17
cari,17
gilir,17
bangking,17
investasi,17
migrasi,16
ganggu,16
