Komentar,Rating,Jumlah Berguna,Tanggal
"Bagus BNI yang lama, data transaksi sudah seperti rekening koran ada total saldo per transaksi & ada mutasi rek koran nya jg. Wondr malah kurang detail, ga ada mutasi rekening koran nya, ini malah rentan manipulasi.",1,382,2024-11-23
"Hati-hati menggunakan aplikasi ini, transaksi qris status nya gagal akhirnya transaksi ulang, mau cek rekening koran tambah kurang saldonya malah tidak ada, untung BNI mobile belum ku uninstall, ternyata transakai yg tertulis gagal tadi ternyata berhasil, hampir saja bersitegang dengan counter nya, ternyata aplikasinya yang membuat masalah, jangan sampai setelah migrasi ke wondr rekening koran keluar masuk saldonya tetap tidak ada, auto cabut lah bakalan",1,336,2024-08-26
"Sering banget eror, sering banget perbaikan dan lain2, di buka lemot banget padahal sinyal bagus dan stabil. Saat ada transaksi penting dan mendadak malah tidak bisa di pakai. Mending wonder aja yg di hapus min daripada bni mobile banking, masih mending aplikasi yg sebelum nya.",1,334,2024-12-22
"Mengalami kemunduran dari BNI Mobile.!!! Di BNI Mobile, setiap transaksi bisa dilihat Jurnal debet kredit & saldo. Lah ini cuma pengeluaran aja. Saldonya tidak langsung di display kan pada jurnal... Sepertinya akan ramai2 Delete Aplikasi Mobile. Karena BSI juga seperti ini. Tak ada Jurnal. Semoga BNI. Kembali Ke tranparansi Jurnal mobile terhadap Customer. TrimaKasih.",1,289,2024-11-08
"Sejak update 16 oktober, aplikasi malah jadi susah sekali dibuka... maaf sedang ada gangguan Seperti itu terus.. Kendalanya: tiap kali mau login itu aplikasinya lama banget kak.. trs nanti muncul notice : ""Ada Sedikit kendala, Tim Kami lagi perbaiki, yuk coba lagi!"" Begitu terus kak... jd hrs dicoba berulang kali, kalo tidak ya ditunggu sampai bisa terbuka. Sudah coba unistall dan install kembali ya tetep sama.. Sebelum di update itu aplikasi lancar cepat sekali aksesnya.",1,276,2024-10-24
"Belum siap buat aplikasi, masih sering Bug. Masuk aja loading lama, transaksi Qris gagal terus. Katanya lebih simpel tapi justru beberapa fitur penting di BNI M-Banking malah dihilangkan, seperti riwayat transaksi yang tidak bisa di download. Intinya Masih Lebih bagus dengan BNI Mobile Banking yang sebelumnya. Banyak keluhan di Wondr tapi tidak ada perbaikan, ya pantas rating dibawah 4",1,240,2024-12-05
"Aplikasi baru tp malah sering gangguan. Saat dibutuhkan utk pmbyran malah error, pdhal sinyal bagus dan kuota msh banyak. Fitur2 kurg user friendly dan masih kalah lengkap drpd bni mobile banking. Ga tau apakah ini maksudnya inovasi atau apa, kok masih banyak kekurangannya. Mhn jd koreksi dan masukan utk tim developer aplikasi.",1,236,2024-10-05
Baru pakai bentar langsung kepikiran buat hapus akun Wondr. Riwayat transaksi kurang baik. Cuma ada uang masuk dan keluar saja. Tidak ada saldo akhir setelah uang masuk ataupun keluar. Kalau mau download e-statement (catatan transaksi) per bulan juga bingung menu-nya ada di mana.,1,214,2024-08-09
"Aplikasi jelek. Belum matang sudah di launching. Pertama, ndak bisa mobile tunai macam BNI Mobile banking, kedua hanya menampilkan uang keluar masuk di riwayat transaksi, saldo rekening akhir ndak nampak macam di BNI Mobile banking lama, ketiga pembayar qris sering error/bermasalah, keempat notif pemasukan uang ndak ada atau sering telat, dll. Pokoknya masih lebih baik BNI Mobile banking daripada wondr by BNI.,, apa guna nya aplikasi ini kalo yg lama masih jauh lebih bagus??.",1,213,2024-08-29
"Ini BNI memang lagi tidak butuh nasabah kah? Sistem verifikasi wajah app ini kayak lagi mempermainkan orang aja, udah susah ke-detect mesti dicoba berkali-kali. Pas berhasil, eh malah muncul prompt ""sistem ada kendala. Silakan coba lagi."" Tolong tingkatkan budgetnya dan hire developer yang becus deh. Mending ke bank lain aja ga pakai ribet.",1,197,2024-10-18
