word,total
bni,1117
susah,899
gagal,803
verifikasi,792
pakai,710
ribet,710
transaksi,698
wajah,620
banget,608
wondr,474
masuk,468
mobile,445
tolong,443
login,429
error,402
apk,393
kali,384
saldo,376
buka,356
baik,350
mudah,300
coba,292
bikin,281
daftar,252
fitur,249
suruh,245
sulit,245
jelek,243
bayar,234
bank,220
banking,219
email,214
salah,214
bagus,204
wonder,197
potong,194
tunai,190
ulang,189
sih,186
pas,184
kayak,176
uang,172
buruk,169
mending,169
kecewa,167
beli,163
update,160
kartu,160
ganti,157
parah,156
transfer,154
ganggu,151
by,141
data,140
cepat,139
tarik,137
kode,137
rekening,136
ktp,135
mbanking,134
listrik,134
eror,133
mulu,133
otp,133
token,132
kendala,127
nasabah,124
sistem,122
aneh,120
nih,119
hasil,117
tunggu,112
hp,110
kirim,109
menu,106
bantu,103
guna,102
pin,100
pulsa,100
kasih,99
orang,98
lelet,97
jam,97
password,93
no,92
tf,91
akun,91
foto,89
hilang,88
sesuai,88
qris,87
terang,85
bintang,85
butuh,84
langsung,84
app,84
besok,83
isi,82
muncul,82
download,81
hari,81
atm,80
mohon,80
layan,79
pindah,74
enak,72
lambat,72
sampah,71
registrasi,70
muka,70
tampil,69
hapus,67
ikut,67
dana,66
kurang,65
pasuk,65
kadang,65
kemarin,64
kantor,62
maintenance,62
bug,62
gampang,61
cabang,60
setor,60
pagi,60
cs,60
min,60
cek,58
kerja,57
rugi,57
lancar,57
proses,56
lot,56
ribu,55
tambah,55
log,55
aman,54
terima,54
akses,53
tolol,53
jaring,52
habis,52
baca,52
tulis,52
verivikasi,52
biar,50
simpel,49
tau,49
sedia,48
keren,47
nyaman,47
pasword,46
instal,46
capek,46
eh,46
malam,46
deh,46
lupa,45
sore,44
nomor,44
selesai,44
mata,43
kacau,42
sesi,41
baru,41
loading,41
saran,40
payah,40
verif,40
sumpah,40
kedip,40
simple,40
alas,39
maaf,39
kembali,37
tagih,37
paksa,37
terimakasih,37
lihat,37
riwayat,37
mutasi,37
solusi,37
minimal,36
kak,36
up,36
moga,36
suka,36
notifikasi,35
repot,35
banyak,35
tinggal,35
masalah,35
arah,34
trouble,34
gue,34
tengok,34
beda,34
bilang,34
mana,34
tingkat,34
apa,33
admin,33
gua,33
ampun,32
lengkap,32
call,32
masak,31
doang,31
belah,30
scan,30
nya,30
bingung,30
alih,30
batas,30
siang,30
dll,29
lapor,29
uninstall,28
gara,28
praktis,28
vermuk,28
dikit,28
respon,27
aktif,27
ambil,27
ubah,27
tabung,26
top,26
ewallet,26
ku,26
tanggal,26
mandiri,26
kagak,26
minggu,25
niat,25
aktivasi,25
gaji,25
stuck,25
kocak,24
sesal,24
tuju,24
bolak,24
limit,24
instruksi,24
input,24
install,24
biaya,24
e,24
kamera,23
fiturnya,23
benerin,23
online,23
notif,23
depan,23
status,23
bawa,23
debit,23
uninstal,23
duit,23
cuman,23
juta,23
gilir,22
antri,22
buang,22
menit,22
bulan,22
bukti,22
keluar,22
dekat,22
syarat,22
tutup,22
apknya,21
perintah,21
oke,21
kapai,21
berkalikali,21
pilih,21
versi,21
sisa,21
tim,21
launching,21
apl,20
kelas,20
pokok,20
ah,20
sandi,20
blokir,20
digital,20
rek,20
cari,20
internet,20
topup,19
set,19
mati,19
rilis,19
kah,19
belanja,19
kesini,19
problem,19
layar,19
via,19
semenjak,19
laku,19
hubung,19
sempurna,19
sayang,18
indak,18
customer,18
sidik,18
jari,18
mesti,18
klik,18
sat,18
kredit,18
paket,18
pandu,18
malas,17
ujung,17
kiri,17
mah,17
hidup,17
bumn,17
cacat,17
melulu,17
developer,17
simpan,17
loadingnya,17
info,17
ngulang,17
deteksi,17
wifi,17
loh,16
anti,16
urus,16
kesel,16
kalah,16
emosi,16
kanan,16
mbangking,16
pasu,16
buru,16
kembang,16
nama,16
hambat,16
rumit,16
jadi,15
tunjuk,15
bangking,15
apps,15
tua,15
biometrik,15
gopay,15
langgan,15
full,15
maksud,15
logout,15
pdam,15
paham,15
nge,15
asli,15
sinyal,15
user,14
kualitas,14
pinjol,14
harap,14
pemberitahuan,14
virtual,14
livin,14
center,14
alhasil,14
tuh,14
lag,14
kesal,14
pinjam,14
auto,14
bri,14
atas,14
lurus,14
ngelag,14
total,13
halaman,13
usaha,13
nominal,13
kena,13
fungsi,13
reset,13
banding,13
keluh,13
sungguh,13
rumah,13
pusing,13
perhati,13
otomatis,13
sorry,13
buku,12
teman,12
berat,12
iya,12
main,12
muas,12
koran,12
upgrade,12
catat,12
tahi,12
tentu,12
tibatiba,12
makan,12
mobil,12
pikir,12
out,12
halo,12
milik,12
nomer,12
loginnya,12
untung,12
stabil,11
hitung,11
jalan,11
tahap,11
aktifasi,11
close,11
konfirmasi,11
erti,11
aduh,11
benah,11
telpon,11
system,11
maksimal,11
cardless,11
alami,11
cetak,11
wa,11
perlu,11
alam,11
busuk,10
terkadang,10
hadeh,10
histori,10
situ,10
tranfer,10
pribadi,10
server,10
kenal,10
poto,10
luncur,10
urgent,10
cash,10
konsumen,10
ganguan,10
atur,10
heran,10
perban,10
aksesibilitas,10
asih,10
senang,10
an,10
maksa,10
pln,10
gmail,10
jujur,10
normal,9
burik,9
gila,9
bodoh,9
anak,9
account,9
intruksi,9
knapa,9
duh,9
ampas,9
nonaktif,9
asu,9
sukses,9
lumayan,9
swasta,9
produk,9
hape,9
contoh,9
kait,9
esok,9
baharu,9
detail,9
buat,9
desak,9
lanjut,9
va,9
dah,9
jelas,9
sering,9
tolak,9
ngebug,9
rusak,9
balikin,9
brimo,9
efisien,9
kelar,9
posisi,8
canggih,8
indonesia,8
tera,8
video,8
kaya,8
saat,8
ada,8
andal,8
diupdate,8
serba,8
rubah,8
ruang,8
negeri,8
apliksi,8
migrasi,8
taplus,8
rekomendasi,8
mahal,8
down,8
terus,8
mutu,8
chat,8
verfikasi,8
aja,8
erorr,8
fast,8
offline,7
puluh,7
aktifin,7
mau,7
blok,7
anjir,7
nali,7
tempat,7
tari,7
trimakasih,7
id,7
ayo,7
kini,7
upload,7
jls,7
usia,7
layak,7
nabung,7
adakan,7
edit,7
nov,7
darurat,7
gambar,7
kenpa,7
bengking,7
berharihari,7
rp,7
fix,7
delay,7
non,7
rating,7
fokus,7
uji,7
ikd,7
alamat,7
modern,7
genting,7
sebal,7
hati,7
tugas,7
wallet,7
telat,7
dompet,7
muda,7
ferifikasi,7
air,7
rincian,7
penuh,7
n,7
tanggap,7
kasihan,7
aktivitas,7
otpnya,7
jaya,7
koneksi,7
tangan,7
service,7
logo,7
jengkel,7
history,7
refund,7
pasti,6
kunci,6
balas,6
becus,6
dalam,6
malu,6
maluin,6
selfie,6
selfi,6
lho,6
barusan,6
ui,6
debet,6
bobrok,6
kepala,6
asa,6
pengin,6
kudu,6
ferivikasi,6
jarang,6
mulut,6
plus,6
aktifitas,6
device,6
bad,6
mutar,6
lebih,6
bentuk,6
inti,6
ecek,6
benar,6
crash,6
putus,6
terupdate,6
adminnya,6
ramah,6
kece,6
huruf,6
sial,6
warna,6
informasi,6
tindak,6
ketik,6
gel,6
alias,6
aju,6
mbankingnya,6
yuk,6
tipu,6
pegawai,6
screenshoot,6
bisnis,6
ajar,6
wajib,6
stor,6
ajg,6
opsi,6
sila,6
cocok,6
komplen,6
bawah,6
selamat,6
anjeng,6
tapcash,6
direspon,6
umur,5
tiket,5
ngisi,5
simponi,5
bayang,5
lahir,5
asik,5
dibenerin,5
sakit,5
qr,5
stop,5
desember,5
komplain,5
ribett,5
benarbenar,5
tariksetor,5
beres,5
regis,5
ngeri,5
pisah,5
woy,5
pesan,5
dasar,5
sedot,5
telepon,5
face,5
mt,5
didik,5
universitas,5
centang,5
cahaya,5
fisik,5
woi,5
investasi,5
bye,5
astaga,5
aktivasinya,5
kecuali,5
daftarin,5
diinput,5
tahun,5
sekali,5
a,5
matang,5
abal,5
vermuknya,5
ektp,5
nyuruh,5
bosan,5
minta,5
lucu,5
dadak,5
plis,5
kota,5
turun,5
sia,5
pliss,5
kuat,5
lelah,5
hancur,5
pt,5
parahhh,5
minus,5
mbank,5
bahaya,5
stres,5
agen,5
lawak,5
takut,5
akibat,5
gegara,5
jaman,5
pending,5
jasa,5
force,5
nilai,5
tingkatin,5
tlong,5
resmi,5
mesin,5
kes,4
inovasi,4
urgen,4
shopeepay,4
mundur,4
karakter,4
minimum,4
byr,4
mantap,4
sms,4
ovo,4
kakak,4
ulas,4
donwload,4
adu,4
bisa,4
cc,4
jual,4
kuliah,4
gunain,4
diinstall,4
satpam,4
satset,4
november,4
memori,4
gelap,4
downgrade,4
senin,4
curi,4
kencang,4
link,4
step,4
was,4
cicil,4
anggap,4
trx,4
bebas,4
masukkin,4
bansos,4
maka,4
komplit,4
manual,4
donlot,4
you,4
passwordnya,4
ringan,4
kondisi,4
wondernya,4
lepas,4
aksesoris,4
restart,4
gun,4
gajih,4
samsung,4
sibuk,4
keburu,4
allah,4
kelola,4
mail,4
print,4
leher,4
sebentar,4
tanda,4
puas,4
muter,4
mala,4
tlpn,4
sekian,4
masyarakat,4
segitu,4
ngambil,4
jamin,4
minim,4
bentar,4
berulangkali,4
harus,4
shopee,4
bos,4
tunduk,4
ogah,4
bsi,4
iklan,4
kacamata,4
izin,4
berulangulang,4
verikasi,4
langkah,4
seringkali,4
realtime,4
profesional,4
troble,4
nelpon,4
atmnya,4
endap,4
nik,4
ss,4
pixel,4
amatir,4
khawatir,4
wkwkwk,4
capai,4
telp,4
desain,4
promonya,4
setia,4
anehh,4
mu,4
macet,4
trobel,4
gratis,4
cair,4
favorit,4
nol,4
meter,4
kabar,4
alhamdulillah,4
buram,4
tanggung,4
utama,4
korupsi,4
rekomen,4
ewalet,4
sebab,4
bnimobile,4
komen,4
serta,4
operasi,4
sayah,4
copy,4
mbaking,4
garagara,4
diinstal,4
transparan,4
hebat,3
bninya,3
gede,3
seharihari,3
all,3
hadehh,3
entar,3
pop,3
lo,3
costumer,3
pencet,3
ta,3
ngabisin,3
dilaunching,3
monyet,3
mbking,3
gembel,3
kaget,3
satu,3
maju,3
dapat,3
baking,3
backlight,3
tidk,3
frame,3
detik,3
percaya,3
release,3
prosedur,3
bla,3
rekap,3
nfc,3
semangat,3
pergi,3
lampu,3
tap,3
periksa,3
sbn,3
hadap,3
pulang,3
mode,3
sabar,3
aplilasi,3
slow,3
tonton,3
store,3
dkirim,3
pasw,3
diperbaikin,3
bugs,3
kosong,3
segar,3
permisi,3
beranta,3
manfaat,3
qriss,3
ram,3
denda,3
promo,3
perangkat,3
menginstal,3
regristrasi,3
valid,3
csnya,3
ngedip,3
awas,3
lamalama,3
ruwet,3
obat,3
alesan,3
sama,3
administrasi,3
cok,3
check,3
temu,3
seabank,3
finger,3
terusribet,3
real,3
buset,3
maintance,3
ringkas,3
ingat,3
dihp,3
publish,3
anji,3
teller,3
screen,3
wonderbni,3
nemu,3
model,3
faham,3
template,3
butut,3
wonde,3
orangtua,3
gin,3
acc,3
ribetin,3
proyek,3
lolos,3
next,3
sensor,3
terusjadi,3
teruspadahal,3
egk,3
hujan,3
amet,3
relog,3
mentok,3
timbang,3
nyangkut,3
tunda,3
ok,3
kesana,3
kalimat,3
luar,3
biru,3
kesan,3
abang,3
mbak,3
ratus,3
menggangu,3
teross,3
itnya,3
lemah,3
beban,3
acara,3
alternatif,3
istri,3
indomaret,3
negara,3
halang,3
lokasi,3
amplikasi,3
time,3
transakasi,3
berjamjam,3
bapuk,3
i,3
ngadat,3
sh,3
gal,3
review,3
barang,3
skip,3
unduh,3
serius,3
tbtb,3
maning,3
develop,3
lari,3
hemat,3
angka,3
besar,3
playstore,3
servernya,3
fiturny,3
bpjs,3
aplikaai,3
sana,3
bot,3
trf,3
batu,3
segera,3
ter,3
team,3
perkara,3
vc,3
hmm,3
tks,3
payroll,3
daerah,3
vertifikasi,3
putar,3
appnya,3
for,3
burukk,3
sip,3
android,3
responsif,3
operator,3
pay,3
ber,3
bobol,3
boro,3
kapok,3
sengaja,3
xing,3
henti,3
fleksibel,3
dar,3
apalikasi,2
connect,2
jeda,2
lemotttt,2
jlk,2
oh,2
kira,2
ribettt,2
parahhhhh,2
pr,2
era,2
es,2
menganggu,2
hpnya,2
fleksi,2
dilakuin,2
dobel,2
bagi,2
hellllooooo,2
muat,2
energi,2
pinta,2
ngeleg,2
aktip,2
smooth,2
kontrak,2
upgred,2
pulsaa,2
aftersales,2
ribetnya,2
kejar,2
target,2
wkwk,2
keluarga,2
busukkk,2
beta,2
cengkunek,2
wondry,2
butuhin,2
servis,2
dusta,2
cashless,2
sdm,2
feedback,2
hadehhh,2
identifikasi,2
hk,2
word,2
mlhn,2
eeh,2
aplikasih,2
mlhan,2
ditungguin,2
lounching,2
jta,2
ssjd,2
accessories,2
lanjur,2
nyusain,2
piye,2
jatuh,2
tulisanya,2
kaca,2
dp,2
waja,2
kasir,2
kau,2
magang,2
wondrnya,2
tb,2
identitas,2
prabayar,2
rakyat,2
huft,2
play,2
mumpuni,2
anjjjj,2
lewat,2
mobeil,2
padah,2
performa,2
transakai,2
kadarluarsa,2
bisaaaa,2
the,2
muluk,2
konsep,2
maintence,2
sush,2
dibukak,2
cutoff,2
anjing,2
huhu,2
pasang,2
lain,2
optimalin,2
muk,2
diaktifasi,2
notabene,2
bela,2
enteng,2
nasaba,2
poswoond,2
camera,2
penguna,2
tungguin,2
mmbantu,2
bisabisa,2
follow,2
intall,2
batal,2
lalu,2
apaapa,2
b,2
aktifasinya,2
modal,2
iki,2
anggar,2
sinkron,2
ferevikasi,2
gr,2
tele,2
pandang,2
kcp,2
nak,2
heh,2
pro,2
keteranganya,2
kga,2
nambahi,2
iphone,2
fikir,2
testing,2
launcing,2
su,2
asuransi,2
batin,2
unggul,2
cookkk,2
karyawan,2
ditambahin,2
stak,2
sim,2
terushapus,2
masang,2
bah,2
wajahsudah,2
ganguang,2
sebel,2
jauh,2
signal,2
sory,2
ribetdan,2
anjg,2
teknis,2
susaj,2
menuhin,2
mllu,2
wondrby,2
transsaksi,2
bankingnya,2
transisi,2
teknologi,2
turut,2
ahli,2
area,2
murah,2
tramsaksi,2
durasi,2
ragu,2
mash,2
dada,2
diujicoba,2
slot,2
bolong,2
memory,2
sistim,2
format,2
plastik,2
nunggunya,2
coy,2
vidio,2
ketimbang,2
ggak,2
maintenen,2
my,2
errornya,2
tahu,2
bego,2
keri,2
susahh,2
trasaksi,2
penting,2
optimalisasi,2
dikitdikit,2
bete,2
gbisa,2
rasa,2
dev,2
mantab,2
pripikasi,2
