word,total
aplikasi,817
bni,568
transaksi,488
masuk,250
buka,243
mobile,242
pakai,222
login,219
close,215
update,214
bantu,207
bug,206
banking,187
apk,186
bank,141
transfer,132
layan,129
force,125
kali,124
banget,119
mbanking,116
wondr,112
eror,111
kartu,107
pas,106
otp,103
mulu,103
coba,95
kode,94
hp,93
mohon,91
daftar,90
sih,87
ulang,87
bikin,85
tingkat,83
saldo,79
tunai,76
nan,75
rekening,72
ganti,68
nyaman,68
cepat,68
langsung,67
nih,67
kasih,66
baru,63
lancar,63
wonder,61
atm,61
hapus,59
kendala,59
beli,58
tf,56
suruh,56
aman,56
log,55
bayar,55
kirim,54
muncul,54
listrik,53
min,53
ngebug,53
email,53
uang,52
kak,50
jam,49
kayak,49
app,46
data,46
guna,46
download,45
solusi,45
terima,44
token,44
habis,43
fitur,43
bintang,41
versi,41
nomor,40
by,40
isi,39
terimakasih,39
maaf,38
pindah,37
payah,37
orang,36
akun,36
out,36
tarik,35
nge,34
selesai,34
semenjak,33
cs,33
pulsa,33
menu,32
qris,32
masalah,32
kantor,31
user,31
id,31
setor,30
paksa,30
aktivasi,30
muas,29
debit,28
aktif,28
moga,28
install,28
tunggu,28
tutup,28
mobil,28
instal,28
oke,27
lot,27
cek,27
proses,26
lanjut,26
bangking,26
registrasi,25
keren,25
cabang,25
manfaat,24
butuh,24
tulis,24
pin,23
repot,23
tibatiba,23
online,23
verifikasi,23
uninstall,23
dana,23
maintenance,22
ubah,22
akses,21
biar,21
respon,21
dekat,21
notifikasi,21
hubung,20
nasabah,20
alih,20
ribu,20
jaring,20
wa,19
minggu,19
logout,19
nya,19
malas,19
hasil,19
kerja,19
call,18
tau,18
tolong,18
baik,18
lupa,18
normal,18
tabung,18
laku,18
beda,18
baca,17
terang,17
apknya,17
chat,17
koneksi,16
praktis,16
pasuk,16
alhamdulillah,16
saran,16
sistem,16
notif,16
mental,16
pilih,16
pemberitahuan,16
lihat,16
malam,16
cache,15
mbangking,15
balas,15
bagus,15
blokir,15
password,15
otomatis,14
nomer,14
pagi,14
admin,14
apa,14
ku,14
customer,14
kemarin,14
kredit,14
service,14
hari,14
rusak,14
eh,14
ktp,13
ambil,13
baharu,13
gua,13
sms,13
putus,13
alami,13
bumn,13
pasword,13
halo,13
via,13
fungsi,13
negeri,12
tanggal,12
ngisi,12
sesuai,12
banyak,12
uninstal,12
kembang,12
nutup,12
kelas,12
android,12
jaya,12
live,12
kah,12
jelas,11
mpin,11
cuman,11
bulan,11
sukses,11
kurang,11
busuk,11
hambat,11
layar,11
atas,11
milik,11
mending,11
gampang,11
digital,11
lumayan,11
ujung,11
tranfer,11
senang,11
arah,11
menit,11
informasi,10
biaya,10
jalan,10
memori,10
henti,10
center,10
tambah,10
bilang,10
loading,10
hadeh,10
info,10
perangkat,10
klik,10
keluh,10
forceclose,10
muter,10
closed,10
rek,10
sinyal,9
pencet,9
tinggal,9
percaya,9
sayang,9
indak,9
kagak,9
tuju,9
konfirmasi,9
urus,9
makan,9
macet,9
doang,9
loh,9
iya,9
antri,9
malu,9
kena,9
lapor,9
kesel,9
mana,9
tahi,9
apl,9
indonesia,9
kocak,8
gue,8
reset,8
bukti,8
tindak,8
enak,8
kesini,8
jengkel,8
restart,8
sandi,8
tampil,8
sila,8
maksud,8
limit,8
buang,8
taplus,8
ikut,8
ribet,8
duit,8
sim,8
dll,8
terus,8
siang,8
ganguan,8
emosi,8
riwayat,8
gilir,8
aduh,8
wajah,8
wifi,8
status,8
telepon,8
scan,8
mantab,8
posisi,7
simple,7
batu,7
kakak,7
buru,7
virtual,7
masak,7
forclose,7
halaman,7
simpel,7
kembali,7
upgrade,7
efisien,7
kenpa,7
stabil,7
developer,7
tim,7
gagal,7
sempurna,7
e,7
maju,7
sisa,7
niat,7
ganggu,7
deh,7
rating,7
pinjam,7
whatsapp,7
kualitas,7
detik,7
hati,7
takut,7
kesal,7
rumah,7
angka,7
setia,7
v,7
gmail,7
mbaking,7
fc,7
sengaja,7
kelar,6
ulas,6
negara,6
bahaya,6
playstore,6
tolak,6
edit,6
cardless,6
diupdate,6
ampas,6
mutasi,6
mbking,6
agent,6
mah,6
knapa,6
bos,6
kapai,6
keluar,6
bingung,6
tahap,6
buat,6
nik,6
ndk,6
bri,6
tanggap,6
syarat,6
pusing,6
ewallet,6
apasih,6
n,6
ter,6
paket,6
selamat,6
kompatibel,6
langkah,6
bengking,6
ngeblur,6
komplain,6
izin,6
melulu,6
muda,6
bawa,6
tuh,6
heran,6
slow,5
tukar,5
jawab,5
iklan,5
gara,5
note,5
an,5
utama,5
loding,5
simpan,5
berkalikali,5
harap,5
internet,5
butut,5
bot,5
suka,5
banding,5
the,5
ayo,5
saat,5
apps,5
fiturnya,5
belah,5
telpon,5
ber,5
pasu,5
tahan,5
auto,5
cocok,5
csnya,5
capek,5
woy,5
truss,5
nominal,5
paham,5
sip,5
sebal,5
susah,5
aju,5
depan,5
non,5
berat,5
inti,5
poin,5
bankingnya,5
bodoh,5
sesal,5
migrasi,5
benah,5
digit,4
daptar,4
burik,4
cacat,4
jaga,4
tari,4
salah,4
memory,4
gercep,4
efektif,4
tentu,4
dadak,4
fisik,4
dah,4
bugnya,4
kamera,4
lo,4
asih,4
balikin,4
promosi,4
cari,4
maksa,4
costumer,4
diam,4
besok,4
komentar,4
bobrok,4
mutu,4
cash,4
norek,4
gaji,4
point,4
teman,4
batas,4
amanah,4
mu,4
ngabisin,4
referal,4
pribadi,4
atur,4
asik,4
program,4
hadehh,4
debet,4
sibuk,4
tekeluar,4
tahun,4
betul,4
mode,4
bisnis,4
pasang,4
downlod,4
ewalet,4
konsumen,4
situ,4
woii,4
perban,4
donlod,4
kedip,4
deteksi,4
usaha,4
system,4
seharihari,4
unistal,4
sebab,4
kondisi,4
erorr,4
sesi,4
kuota,4
juli,4
penuh,4
pesan,4
jelasss,4
sedia,4
dikit,4
tangan,4
mesin,4
up,4
pelihara,4
sumpah,4
semangat,4
darurat,4
nyangkut,4
mbank,4
beranda,4
nama,4
bentar,4
minimum,4
terclose,4
hancur,4
register,3
pajak,3
anak,3
input,3
ingat,3
giat,3
perlu,3
vasnap,3
rumit,3
komplit,3
aktivitas,3
ngapa,3
bla,3
profil,3
a,3
tera,3
pergi,3
atmnya,3
minus,3
jarang,3
menyenagkan,3
bugs,3
huruf,3
layer,3
tebaik,3
tunda,3
operator,3
etik,3
ah,3
keluarkeluar,3
youtube,3
kasir,3
alamat,3
alias,3
suara,3
sakit,3
mantapppp,3
kece,3
diri,3
dukung,3
kntl,3
buku,3
sagat,3
pesawat,3
kecewa,3
juta,3
woi,3
ngeclose,3
tb,3
trasfer,3
teh,3
ngerugiin,3
handphone,3
ada,3
mandiri,3
perhati,3
dibenerin,3
laur,3
dengn,3
kalah,3
mobilenya,3
kolom,3
kait,3
kaget,3
kudu,3
mentok,3
duh,3
turun,3
hebat,3
jadul,3
akurat,3
ngalamin,3
lawak,3
kaya,3
software,3
biometrik,3
hilang,3
kosong,3
tolongg,3
dal,3
dowload,3
gegara,3
tlng,3
device,3
bang,3
relog,3
wndr,3
rekomendasi,3
antre,3
bolak,3
tunjuk,3
donwload,3
fix,3
trf,3
pulang,3
tlong,3
antarbank,3
pisah,3
sungguh,3
ringan,3
tidur,3
bnerin,3
dompet,3
kapok,3
menggangu,3
payment,3
server,3
pengaruh,3
profesional,3
google,3
wallet,3
mesti,3
aktifasi,3
mengunakan,3
fast,3
word,3
pt,3
jenis,3
pabrik,3
wae,3
tipu,3
otpnya,3
sial,3
rakyat,3
mudah,3
ribed,3
tks,3
endap,3
rp,3
bawah,3
stor,3
pengin,3
josss,3
cerah,3
beres,3
seng,3
account,3
mntap,3
murah,3
mata,3
perintah,3
ampun,3
asli,3
pokok,3
tahu,3
va,3
trimakasih,3
redmi,3
sulit,3
jujur,3
abang,3
brimo,3
seluler,3
layak,3
sebentar,2
ndi,2
lemah,2
kemanamana,2
tto,2
keluae,2
wonge,2
sendirisudah,2
punya,2
brengsek,2
pepet,2
qr,2
kadang,2
refferal,2
lucu,2
menganggu,2
gajih,2
eman,2
transaksitolong,2
ra,2
huh,2
main,2
buta,2
allah,2
kuliah,2
amin,2
comment,2
boros,2
gb,2
terinstal,2
muluu,2
tipe,2
seringkali,2
jangkrik,2
sering,2
jadi,2
gaya,2
ng,2
nabung,2
sara,2
clos,2
imael,2
not,2
respond,2
rootjailbreak,2
segera,2
closing,2
membantutidak,2
pro,2
ruang,2
sendiribikin,2
mantuuuul,2
detail,2
okeh,2
gin,2
foreclose,2
mbangkin,2
komplen,2
bostolong,2
ketik,2
why,2
sngat,2
daerah,2
maintance,2
itnya,2
jebak,2
bodo,2
goblog,2
chace,2
walet,2
tbtb,2
inj,2
apik,2
dftr,2
chache,2
us,2
sangan,2
berharihari,2
tombol,2
tololl,2
