word,total
baik,1439
tolong,723
transaksi,684
bni,677
mudah,407
bagus,373
suka,301
ganggu,290
bug,285
mobile,265
banget,241
login,227
update,220
pakai,220
banking,198
mohon,190
buka,183
bank,179
apk,169
transfer,164
layan,153
masuk,152
bantu,137
wondr,132
mantap,129
cepat,123
kali,117
coba,115
mbanking,113
pas,112
ulang,108
sih,102
baru,96
sistem,96
kasih,82
hp,80
nasabah,78
tingkat,75
kayak,74
mulu,74
nih,74
nyaman,73
versi,71
bayar,71
guna,69
langsung,67
log,66
pindah,65
eror,65
uang,65
wonder,65
bikin,63
saldo,61
ganti,58
ok,58
min,55
lancar,53
aman,53
top,53
tf,52
puas,51
fitur,51
terima,50
semenjak,49
orang,48
hapus,48
tunai,48
up,47
kendala,47
otp,45
muncul,44
kemarin,43
app,43
gagal,43
butuh,42
kirim,42
urgent,42
lengkap,41
terimakasih,41
moga,40
tibatiba,40
bintang,39
android,39
sulit,39
suruh,38
kartu,38
kecewa,38
instal,38
kerja,38
ribet,38
minggu,37
malam,36
ngebug,36
tarik,36
atm,36
data,36
biar,36
cache,35
parah,34
good,34
install,33
kode,32
beli,32
daftar,32
pulsa,32
keluh,31
masalah,31
jam,31
kadang,31
maaf,31
uninstall,30
baca,30
selesai,30
clear,29
sinyal,29
menu,28
bangking,28
qris,28
rekening,27
tulis,27
bugnya,27
jaring,26
memori,26
download,26
buruk,26
jelek,25
cek,24
out,24
habis,24
apa,23
solusi,23
best,23
admin,23
tutup,23
bukti,22
isi,22
oke,22
mending,21
hambat,21
malas,21
saran,20
mental,20
hasil,20
nya,20
keren,20
nge,20
mbangking,19
kak,19
alert,19
koneksi,19
verifikasi,19
akses,19
user,19
registrasi,19
proses,19
by,19
urus,19
pokok,19
alih,19
gampang,18
salah,17
dana,17
repot,17
gue,17
setor,17
ubah,17
tlong,17
token,17
listrik,17
tambah,17
eh,16
cs,16
tau,16
wifi,16
kesel,16
bulan,16
kesini,16
terang,16
paksa,16
aktivasi,16
email,16
lihat,16
hari,16
alami,16
gara,16
tranfer,16
pin,16
restart,15
hilang,15
lot,15
resah,15
memory,15
tunggu,15
apl,15
notifikasi,15
iklan,15
dikit,15
the,15
online,15
internet,15
diupdate,15
indonesia,15
deh,15
respon,15
perhati,15
belah,15
otomatis,15
customer,14
cuman,14
dll,14
sukses,14
sayang,14
praktis,14
baharu,14
bilang,14
ayo,14
mana,14
ulas,14
ikut,14
simple,13
enak,13
komplain,13
maintenance,13
pikir,13
rusak,13
mobil,13
ku,13
closed,13
sumpah,13
nutup,13
akun,13
please,12
manfaat,12
kantor,12
tampil,12
tanggal,12
lumayan,12
malu,12
aneh,12
muas,12
kembang,12
doang,12
developer,12
id,12
simpel,12
logout,12
payah,11
nomor,11
pagi,11
tim,11
fungsi,11
ambil,11
benah,11
notif,11
e,11
play,11
depan,11
pilih,11
buru,11
pasuk,11
chace,11
kocak,11
nice,11
kacau,11
kesal,11
langgan,10
putus,10
jos,10
stabil,10
loh,10
siang,10
gua,10
kalah,10
ribu,10
mode,10
apknya,10
kelas,10
nama,10
lanjut,10
sisa,10
halo,10
pengin,10
maju,10
erti,9
emosi,9
system,9
masak,9
debit,9
gb,9
teman,9
menit,9
keluar,9
jujur,9
kurang,9
store,9
henti,9
cabang,9
bankingnya,9
i,9
tbtb,9
bugs,9
tuh,9
kena,9
atur,9
fiturnya,9
paham,9
ganguan,9
menggangu,9
via,9
banyak,9
pemberitahuan,9
biaya,9
aktivitas,9
melulu,9
tinggal,9
negara,9
ber,8
ah,8
sesal,8
vasnap,8
ampas,8
upgrade,8
bumn,8
aduh,8
for,8
wa,8
wallet,8
bersih,8
iya,8
apps,8
optimal,8
job,8
jalan,8
wajah,8
negeri,8
lupa,8
klik,8
kualitas,8
jelas,8
service,8
is,8
detik,8
cari,8
nabung,8
mah,8
saat,8
n,8
v,8
keluarga,8
arah,7
support,7
benerin,7
konsumen,7
atas,7
rugi,7
ewallet,7
woy,7
pesan,7
tangan,7
juta,7
edit,7
sandi,7
uninstal,7
duit,7
terus,7
buang,7
kagak,7
beda,7
bisnis,7
normal,7
thanks,7
tabung,7
perlu,7
beres,7
bos,7
dadak,7
super,7
kah,7
hubung,7
tindak,7
lapor,7
percaya,7
mesin,6
dah,6
menganggu,6
reset,6
chat,6
lho,6
forceclose,6
mesti,6
sesuai,6
asik,6
lelet,6
hadeh,6
serba,6
keluarkeluar,6
whatsapp,6
ujung,6
usaha,6
