word,total
bni,1822
bagus,1561
baik,1422
mudah,1136
wondr,1109
transaksi,1072
banget,860
lengkap,699
mantap,674
pakai,651
mobile,635
cepat,626
fitur,568
tampil,561
by,461
tarik,355
bayar,344
banking,332
buka,312
keren,308
tolong,300
apk,300
suka,281
top,269
bantu,268
wonder,264
menu,247
tunai,242
masuk,242
fiturnya,218
uang,213
sih,205
moga,199
simple,197
bank,191
app,189
qris,187
login,186
kartu,178
simpel,178
guna,177
saldo,177
up,170
mbanking,168
transfer,159
promo,158
mohon,150
gampang,148
butuh,145
kendala,143
coba,142
ok,137
warna,136
super,134
pokok,131
update,129
kali,129
bikin,127
praktis,126
ribet,126
kayak,122
good,122
kasih,121
rekening,120
user,118
sistem,117
nasabah,114
fresh,112
friendly,109
aman,109
mulu,108
daftar,108
eror,106
layan,106
nyaman,102
verifikasi,100
deh,99
lancar,99
the,98
best,93
nih,93
hari,91
pas,90
atm,89
depan,87
langsung,84
download,84
tingkat,84
easy,84
akses,83
muncul,83
tambah,79
jam,79
bintang,76
beli,76
dana,74
orang,74
enak,74
riwayat,71
use,71
ulang,70
mending,70
puas,69
terimakasih,69
suruh,69
ganti,68
terima,67
baru,65
sedia,65
proses,63
data,62
ewallet,62
apps,59
pindah,59
wajah,59
apa,58
oke,57
tunggu,57
susah,57
biar,56
jaring,56
keluar,56
ui,55
mutasi,55
pin,55
lot,55
selesai,54
kini,53
setor,53
pagi,52
min,52
lucu,52
sayang,52
kemarin,51
is,50
terang,49
sok,49
paham,49
maintenance,48
set,48
malam,47
kadang,46
and,46
pilih,46
sat,46
kembang,46
optimal,46
sesuai,46
saran,45
detail,45
hapus,45
beda,44
tau,43
tulis,43
sukses,43
job,43
bug,43
tim,42
tf,42
kurang,42
urgent,42
kerja,41
pasu,41
dikit,41
fun,40
isi,39
loading,39
gagal,39
e,39
cek,39
siang,38
kirim,38
banyak,37
mana,37
promonya,36
lihat,36
love,36
batas,36
banding,35
dll,34
perban,34
kecewa,34
lumayan,34
jadi,34
modern,34
password,34
nice,34
pulsa,34
blokir,34
cuman,34
lupa,34
atur,34
baca,33
bingung,33
wow,33
bangking,33
respon,33
apknya,32
otp,32
instal,32
hasil,32
biaya,32
tabung,32
repot,31
limit,31
ringan,31
nya,31
belanja,31
nama,31
notif,31
tinggal,31
token,30
tagih,30
wallet,30
kredit,30
email,30
hp,30
cocok,30
manfaat,30
didik,29
maaf,29
versi,29
notifikasi,29
juta,29
step,29
recommended,29
ktp,28
jaya,28
nomor,28
hilang,28
fiturfitur,28
desain,28
n,28
thanks,28
sempurna,28
listrik,28
fungsi,27
paksa,27
belah,27
digital,27
masalah,27
alih,27
cs,27
kode,27
tanggal,26
ku,26
investasi,26
habis,26
ubah,26
bukti,26
canggih,26
penuh,25
kelola,25
i,25
muda,25
antri,25
online,25
registrasi,24
sisa,24
senang,24
kantor,24
makan,24
upgrade,23
apl,23
alam,23
install,23
negeri,23
anak,23
sesi,23
topup,23
internet,22
harap,22
erti,22
salah,22
bilang,22
log,22
full,21
no,21
bawa,21
stabil,21
sinyal,21
maju,21
aneh,21
syarat,21
wonderful,21
minggu,21
akun,20
jelek,20
pinjam,20
masak,20
muas,20
gue,20
payah,20
halaman,20
debit,20
hambat,19
qr,19
fast,19
very,19
ribu,19
asa,19
inovasi,19
jalan,19
interface,19
history,19
kalah,19
segar,19
aktif,19
satset,18
kak,18
wifi,18
koran,18
cabang,18
via,18
bulan,18
tuju,18
eh,18
please,18
insight,18
gara,18
launching,17
rekap,17
cash,17
pasword,17
efisien,17
hidup,17
pdam,17
eye,17
overall,17
lebih,17
tapcash,17
aktivasi,17
scan,17
buru,17
sumpah,17
solusi,17
nominal,17
sulit,17
mau,16
maksimal,16
mbangking,16
informasi,16
mata,16
contoh,15
simpan,15
you,15
lapor,15
pln,15
iklan,15
rumah,15
untung,15
gratis,15
info,15
tentu,15
tahan,15
paket,15
ayo,15
minimal,15
foto,14
developer,14
dadak,14
pantau,14
wndr,14
sesal,14
bosan,14
kagak,14
admin,14
klik,14
indonesia,14
benah,14
system,14
migrasi,14
tuh,14
malu,14
kah,14
rincian,14
responsif,14
laku,14
gilir,14
tutup,14
segi,14
lelet,14
thank,14
kelas,14
ecek,14
trx,14
atas,13
semenjak,13
rekomendasi,13
gopay,13
catat,13
ambil,13
perlu,13
indak,13
doang,13
alhamdulillah,13
malas,13
catching,13
buruk,13
jenis,13
cardless,13
kocak,13
worth,13
opsi,13
langgan,13
fiturfiturnya,13
alami,13
ikut,12
duit,12
produk,12
mandiri,12
besok,12
bos,12
performa,12
warni,12
loadingnya,12
menit,12
aset,12
kesel,12
mantab,12
pemberitahuan,12
amazing,12
all,12
sering,12
semangat,12
dalam,12
lanjut,12
far,12
perhati,12
for,12
fasilitas,12
loh,12
jarang,12
genggam,11
kalang,11
ramah,11
ganguan,11
kelar,11
kualitas,11
tranfer,11
reset,11
bentar,11
better,11
tawar,11
beres,11
cari,11
otomatis,11
elegan,11
keluh,10
cicil,10
saat,10
urus,10
my,10
negara,10
mundur,10
turut,10
experience,10
mah,10
finansial,10
jaga,10
uninstal,10
yuk,10
call,10
parah,10
milik,10
save,10
virtual,10
uninstall,10
terus,10
error,10
sibuk,10
berat,10
tiket,10
mu,10
ada,10
nyuruh,9
rating,9
universitas,9
this,9
debet,9
seharihari,9
aduh,9
kece,9
customer,9
pengin,9
ter,9
pusing,9
gua,9
pasti,9
financial,9
murah,9
histori,9
great,9
livin,9
rencana,9
pribadi,9
diupdate,9
komplit,9
pasuk,9
aktivitas,9
trimakasih,9
life,9
dukung,9
an,9
a,9
mobil,9
serba,9
luncur,9
thx,9
kesini,9
cantum,9
jaman,9
smooth,9
lu,9
edit,9
cakep,9
bla,9
tibatiba,9
markotop,9
bolak,8
benarbenar,8
tari,8
handphone,8
daerah,8
mbak,8
desak,8
sila,8
nyala,8
card,8
rasa,8
lambat,8
qrisnya,8
taplus,8
kena,8
cashless,8
utama,8
busuk,8
play,8
quick,8
benar,8
more,8
jujur,8
penggunaanya,8
terkadang,8
bumn,8
berita,8
screenshot,8
ah,8
jamin,8
tunda,8
dasar,8
colorfull,8
zaman,8
rek,8
ampun,8
gaji,8
operasi,8
ux,8
nabung,8
brimo,8
tahap,8
non,8
of,8
next,8
like,8
transaction,7
kaya,7
easier,7
id,7
tampilanya,7
sekian,7
nyata,7
hubung,7
efektif,7
baharu,7
bonus,7
heran,7
melulu,7
air,7
ringkas,7
gen,7
sidik,7
appnya,7
ngebug,7
jari,7
clear,7
teman,7
ajar,7
halo,7
bravo,7
ewalet,7
mbank,7
akurat,7
kencang,7
usaha,7
minus,7
down,7
niat,7
rusak,7
sbn,7
store,7
gas,7
foodcourt,7
informatif,7
angka,7
tera,7
setortarik,7
kota,7
arah,7
privasi,7
ragu,7
diskon,7
buat,7
smart,7
sungguh,7
langkah,7
userfriendly,7
credit,7
asik,7
simponi,7
sngat,7
dear,6
input,6
l,6
gaperlu,6
design,6
wa,6
pandang,6
model,6
tonton,6
auto,6
ketimbang,6
nikmat,6
pasang,6
android,6
terupdate,6
kembali,6
muka,6
kait,6
responnya,6
layak,6
umur,6
kg,6
lamaa,6
out,6
cahaya,6
sumber,6
mesti,6
normal,6
inti,6
digunain,6
go,6
sepenuh,6
temu,6
selamat,6
gila,6
ulas,6
now,6
manual,6
pakenya,6
iya,6
telpon,6
pokoke,6
aplk,6
nomer,6
walet,6
team,6
naik,6
maksud,6
benerin,6
darurat,6
percaya,6
improve,6
koneksi,6
woy,6
berkalikali,6
ceria,6
era,6
wajib,6
urai,6
new,6
setia,6
cantik,6
how,6
mula,6
tks,6
logo,6
pesan,6
hadeh,6
matang,6
interfacenya,6
tap,6
wonderfull,6
total,6
uiux,5
kacau,5
aktivasinya,5
aplikasinyaa,5
kapai,5
link,5
payment,5
merchant,5
tangan,5
tugas,5
milenial,5
wondernya,5
rilis,5
tanda,5
can,5
bayarbayar,5
aktifitas,5
iki,5
nyesal,5
fokus,5
